N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
11,5,0.5164267352141148,1.6629709005355835,1.6367954015731812,1.6586694753753157
11,6,0.5519430736599819,1.9464420080184937,1.949298620223999,1.7727415449261574
11,7,0.586088282998534,2.1628005504608154,2.1885993480682373,1.882409795228255
11,8,0.6286783270449933,2.5786664485931396,2.5538954734802246,2.019201330595732
11,9,0.6777977453756032,3.043876886367798,3.0603342056274414,2.1769640378254302
11,10,0.7777543921573817,3.882286548614502,,2.4980067483835278
12,0,0.2623362661454459,,-0.5521202683448792,0.8425767437446434
12,1,0.35698558148435594,0.3679911494255066,0.3570149540901184,1.14657326350796
12,2,0.405340317441173,0.6469874382019043,0.6730555295944214,1.3018799489531903
12,3,0.4407474461800591,1.1464271545410156,1.1011111736297607,1.4156012566339886
12,4,0.4725065792647225,1.2019972801208496,1.1800493001937866,1.5176058606173062
12,5,0.5022398520536486,1.475905179977417,1.5276989936828613,1.6131037669322295
12,6,0.5326048727783274,1.877224326133728,1.8175008296966553,1.7106307336069535
12,7,0.5641764224372386,2.0290791988372803,2.054905414581299,1.8120328534794277
12,8,0.5977430907373891,2.2176897525787354,2.2805135250091553,1.9198429343739112
12,9,0.6384977929803678,2.6927919387817383,2.6036324501037598,2.0507396830877664
12,10,0.6850579264687682,3.1300575733184814,3.13779878616333,2.200282429271483
12,11,0.783220352862974,3.929396629333496,,2.515562427742785
13,0,0.25720087632300226,,-0.6346719861030579,0.8260827984048291
13,1,0.35010784713373494,0.3023074269294739,0.30510905385017395,1.1244832219798322
13,2,0.3971158811841104,0.683710515499115,0.7010731101036072,1.2754645439372128
13,3,0.4325087108170352,1.0769215822219849,1.051788330078125,1.3891399254701842
13,4,0.4617721086907942,1.0385286808013916,1.0039193630218506,1.4831286783546425
13,5,0.49013662608514075,1.4462833404541016,1.4881364107131958,1.5742303893577503
13,6,0.516267991136033,1.688377857208252,1.6791630983352661,1.6581596180446307
13,7,0.5467865697351665,1.8999522924423218,1.8564282655715942,1.7561797848999299
13,8,0.5746612798448151,2.1465492248535156,2.139082193374634,1.8457083232987803
13,9,0.6079470986370686,2.298654794692993,2.3441238403320312,1.9526163662580482
13,10,0.6470120724400583,2.6836354732513428,2.666029453277588,2.078086012163368
13,11,0.6915848232070636,3.2500598430633545,3.208317756652832,2.2212456437035337
13,12,0.7884510233099289,3.961696147918701,,2.532362397253493
14,0,0.2526213024382368,,-0.6689203381538391,0.8113740335502423
14,1,0.3442319450145903,0.27512115240097046,0.2726721167564392,1.1056108847812602
14,2,0.3895457337129163,0.6164843440055847,0.6015111804008484,1.2511505964237222
14,3,0.42515534112555703,0.9917435050010681,0.9524829387664795,1.3655222290638431
14,4,0.45183715710840444,1.0387451648712158,0.9857903718948364,1.4512194068057762
14,5,0.4790678585897741,1.3177897930145264,1.313345193862915,1.5386795057130853
14,6,0.5042542939650186,1.4752082824707031,1.5229436159133911,1.619573790810681
14,7,0.5301146103776504,1.8870922327041626,1.8253425359725952,1.7026324601868812
14,8,0.5580106975286024,1.949022889137268,1.9316037893295288,1.7922296577845418
14,9,0.58455698934627,2.12174391746521,2.173468828201294,1.8774915563655956
14,10,0.6169887683118327,2.4254252910614014,2.477048397064209,1.9816565775277841
14,11,0.6546470120150824,2.8120834827423096,2.737548828125,2.102608060221505
14,12,0.6972166927131498,3.2941949367523193,3.24282169342041,2.2393341921888656
14,13,0.7934236863801013,3.991825580596924,,2.548333693631868
15,0,0.24866013446039648,,-0.7144747972488403,0.7986514768666619
15,1,0.33904254447184184,0.19408555328845978,0.19285273551940918,1.0889434667549953
15,2,0.38283866397924904,0.5747401118278503,0.5399003028869629,1.229608698845869
15,3,0.41767567530725197,0.7697767615318298,0.8039374351501465,1.3414988922904536
15,4,0.443750868636252,1.2007851600646973,1.1388336420059204,1.4252477075437744
15,5,0.4695766687852097,1.10963773727417,1.0840202569961548,1.5081955169101098
15,6,0.49386522135707295,1.5096226930618286,1.5728676319122314,1.5862059644817192
15,7,0.5162377424276886,1.6953396797180176,1.6891449689865112,1.6580624646523305
15,8,0.5427101232163679,1.9003697633743286,1.8328077793121338,1.7430869743467974
15,9,0.5670253538906371,2.0649573802948,2.123581886291504,1.82118310716881
15,10,0.5939274451329514,2.1236677169799805,2.159714460372925,1.907587769291672
15,11,0.6252257389555524,2.5608179569244385,2.553152322769165,2.0081122407316574
15,12,0.6611480512190696,2.8824212551116943,2.82938551902771,2.123488224919797
15,13,0.7022629139158806,3.2690865993499756,3.2313733100891113,2.2555417440141814
15,14,0.7978354093329179,4.017916679382324,,2.5625033515846374
16,0,0.24452445722755792,,-0.7914864420890808,0.7853684279492392
16,1,0.33385101380676896,0.17507411539554596,0.1796034723520279,1.0722692071602415
16,2,0.37687124133799565,0.5673896074295044,0.5448316335678101,1.2104424142467445
16,3,0.41045921762297044,0.6815073490142822,0.6949107646942139,1.3183209325430896
16,4,0.4368199040698286,1.2212094068527222,1.2030385732650757,1.402986700168802
16,5,0.4608498476534852,1.0399775505065918,1.0228480100631714,1.4801665423407542
16,6,0.4838881490667264,1.412970781326294,1.3586028814315796,1.554161408820306
16,7,0.5057618669137448,1.431036353111267,1.4700802564620972,1.624415843054388
16,8,0.5282151888568348,1.8740888833999634,1.8943511247634888,1.6965318610454725
16,9,0.5533245610269079,1.8468835353851318,1.850844383239746,1.7771786330354449
16,10,0.575404492220277,2.2546274662017822,2.2619407176971436,1.8480953873232422
16,11,0.6024269261496298,2.24887752532959,2.254481554031372,1.9348865684389533
16,12,0.6329256300060785,2.6113574504852295,2.595829486846924,2.0328429012074904
16,13,0.6668021111279167,2.9456443786621094,2.9011826515197754,2.141648044974155
16,14,0.7072203395958402,3.252718448638916,3.2667531967163086,2.271464100645043
16,15,0.8025967695353005,4.075758934020996,,2.5777959812849267
17,0,0.2411381188739022,,-0.8370887637138367,0.7744921202805964
17,1,0.3293568181152726,0.13991737365722656,0.14110851287841797,1.057834661654464
17,2,0.37150854786347304,0.5432149767875671,0.5010835528373718,1.1932184105973263
17,3,0.403901249415801,0.673816978931427,0.7055239677429199,1.2972579221603993
17,4,0.4311181692055039,1.085139513015747,1.0381734371185303,1.3846737567612193
17,5,0.45256978529886277,0.980480432510376,0.9051645398139954,1.4535724763381057
17,6,0.47526954727201454,1.2201985120773315,1.2410879135131836,1.5264800152313847
17,7,0.49677387625283964,1.5203309059143066,1.5979021787643433,1.5955480390898609
17,8,0.5162705617274413,1.710918664932251,1.6931756734848022,1.6581678743203263
17,9,0.5394181078264355,1.9127038717269897,1.8281227350234985,1.7325136150154243
17,10,0.5616427245489939,1.9387863874435425,1.9896831512451172,1.8038950731119723
17,11,0.5836183722553906,2.1258819103240967,2.152117967605591,1.874476887659372
17,12,0.61014845167549,2.3480920791625977,2.366652488708496,1.9596867149452446
17,13,0.6396070821027015,2.694786787033081,2.699737787246704,2.0543025195583025
17,14,0.6715548487456602,3.0864686965942383,3.0435497760772705,2.1569129804886784
17,15,0.7116229228626344,3.3093671798706055,3.2989108562469482,2.2856044035757233
17,16,0.8065421424728577,4.123974323272705,,2.590467807149606
18,0,0.2381069825075766,,-0.900788426399231,0.7647566572929185
18,1,0.3250847898290281,0.13150152564048767,0.1366087943315506,1.0441136777604063
18,2,0.36643562920996575,0.5334664583206177,0.500218391418457,1.1769251113781332
18,3,0.3982559833935546,0.6382908821105957,0.6406950354576111,1.2791263464827938
18,4,0.42539620207737194,0.9019864797592163,0.9327706098556519,1.3662958309735498
18,5,0.44563895153181754,1.173071265220642,1.1224491596221924,1.4313118890671308
18,6,0.46768020907397734,1.0797793865203857,1.0480804443359375,1.5021044305665725
18,7,0.4878298758235001,1.5241047143936157,1.5142109394073486,1.5668215238103247
18,8,0.5067434957412907,1.4251978397369385,1.4687480926513672,1.627568657696573
18,9,0.5267322062243175,1.7982001304626465,1.8390536308288574,1.6917687884596808
18,10,0.5494461794207935,1.9639949798583984,1.8855654001235962,1.7647219712376165
18,11,0.5688513429905853,2.1130547523498535,2.1513192653656006,1.8270478546265425
