N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
14,9,0.5264734625816345,-0.9426224827766418,-0.9351290464401245,-0.9143597717619212
14,10,0.5600404739379883,-0.9281586408615112,-0.8992228507995605,-0.9632582816516333
14,11,0.5965505242347717,-0.9663283228874207,-0.9708364009857178,-1.015164784487153
14,12,0.6456260681152344,-1.1021784543991089,-0.9989293217658997,-1.0828356263155001
14,13,0.7516430020332336,-0.613603949546814,,-1.2208024028137014
15,0,0.1575705111026764,,-0.4592043459415436,-0.30272678922077345
15,1,0.25526124238967896,-0.8855054974555969,-0.8346224427223206,-0.4779433338461967
15,2,0.3060630261898041,-0.8439545631408691,-0.8359832763671875,-0.5652887643793778
15,3,0.3430875539779663,-0.8583630919456482,-0.8353829979896545,-0.6273205731086406
15,4,0.3751857280731201,-0.8567727208137512,-0.8434516787528992,-0.6799892908713616
15,5,0.40117576718330383,-0.7137418389320374,-0.7100180387496948,-0.7218805362790515
15,6,0.4284040033817291,-0.5750662684440613,-0.5260666012763977,-0.765043011706712
15,7,0.45737990736961365,-1.4289097785949707,-1.462262511253357,-0.8101616249065091
15,8,0.48200729489326477,-0.9346030950546265,-0.9405457973480225,-0.8478490736213682
15,9,0.5070285201072693,-0.9588620662689209,-0.9558672308921814,-0.8855180801134548
15,10,0.5357599258422852,-1.1450148820877075,-1.1236683130264282,-0.9280005026153049
15,11,0.5684904456138611,-0.9831188917160034,-0.9456394910812378,-0.975390197850599
15,12,0.6038243770599365,-0.7516329884529114,-0.8003263473510742,-1.0253468149539628
15,13,0.6511328816413879,-1.14968740940094,-1.0570902824401855,-1.090278748505467
15,14,0.7565182447433472,-0.6437677145004272,,-1.2268765621719169
16,0,0.15316462516784668,,-0.43955957889556885,-0.2945995491342899
16,1,0.2491520345211029,-0.8618339896202087,-0.7852641344070435,-0.4672657008892034
16,2,0.2993689477443695,-0.8484123349189758,-0.823481023311615,-0.5539270120519535
16,3,0.3356175124645233,-0.8609328866004944,-0.839645266532898,-0.6149154675926094
16,4,0.3664872348308563,-0.7673081755638123,-0.7777734994888306,-0.665818023014729
16,5,0.39276590943336487,-0.9648646712303162,-0.9692042469978333,-0.7083992890602206
16,6,0.4164523780345917,-0.4050659239292145,-0.3961571753025055,-0.7461884644838501
