N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
16,15,0.9059398174285889,0.5003531575202942,,0.8730365420701967
17,0,0.15053951740264893,,0.5372807383537292,0.1714492440515103
17,1,0.2409219890832901,0.6123127341270447,0.5455955266952515,0.23173293979618304
17,2,0.2931699752807617,0.5915669202804565,0.5492162704467773,0.27349835276754936
17,3,0.3333435356616974,0.5780096054077148,0.538515031337738,0.3108305482929884
17,4,0.3702862858772278,0.5736427903175354,0.5286082625389099,0.34656744427907715
17,5,0.40642300248146057,0.5404056310653687,0.49702051281929016,0.3825258470639766
17,6,0.44186171889305115,0.5319938063621521,0.49998462200164795,0.4180515416392739
17,7,0.47468701004981995,0.5191774368286133,0.4902694523334503,0.4531087118712242
17,8,0.5079700946807861,0.5359151363372803,0.49503758549690247,0.48801997910209294
17,9,0.5418382287025452,0.5099161863327026,0.46150338649749756,0.5236691937603447
17,10,0.5759356617927551,0.49680203199386597,0.4458504319190979,0.5586798368117831
17,11,0.6119992136955261,0.4796575605869293,0.42877626419067383,0.5962956212002654
17,12,0.6494766473770142,0.46320173144340515,0.40825459361076355,0.6347953705869269
17,13,0.6945880055427551,0.4474726617336273,0.3800547420978546,0.6765643864797886
17,14,0.7472113370895386,0.43768569827079773,0.3438331186771393,0.7247454057431321
17,15,0.8133209347724915,0.4397542178630829,0.3090049922466278,0.7832349925176105
17,16,0.9094840884208679,0.5029759407043457,,0.8767423310994567
18,0,0.14716637134552002,,0.5390896797180176,0.1695071376765697
18,1,0.23598869144916534,0.6105085015296936,0.5449807047843933,0.22816182517841138
18,2,0.2867893874645233,0.593806803226471,0.5518280863761902,0.26810183104487484
18,3,0.3260669410228729,0.5805401802062988,0.5434810519218445,0.30396325115768574
18,4,0.3613375723361969,0.5738524198532104,0.5313306450843811,0.3377559782768276
18,5,0.39513707160949707,0.5491243600845337,0.505623996257782,0.37152216964222196
18,6,0.4294336140155792,0.5381664037704468,0.5028135180473328,0.405500233472221
18,7,0.4610483646392822,0.5202281475067139,0.49182429909706116,0.4385088755259927
18,8,0.4922415614128113,0.524207353591919,0.49198564887046814,0.4713700194108284
18,9,0.5238993167877197,0.5224118232727051,0.48372408747673035,0.5050599545792085
18,10,0.5558509230613708,0.5104002952575684,0.46259596943855286,0.5383132973499717
18,11,0.5888656377792358,0.48652470111846924,0.4344900846481323,0.5726685046448722
18,12,0.6231512427330017,0.47043663263320923,0.4249826669692993,0.6081034981248322
18,13,0.6598846912384033,0.46187087893486023,0.41014906764030457,0.6450337412747144
18,14,0.7040473818778992,0.4458424150943756,0.3755514621734619,0.6855313254807842
18,15,0.7555631995201111,0.4313246011734009,0.33682408928871155,0.7318611540132897
18,16,0.8193138241767883,0.4410549998283386,0.31160369515419006,0.7890393025626369
18,17,0.9127443432807922,0.5027769804000854,,0.8801589629731424
19,0,0.14400632679462433,,0.5370675325393677,0.16771211997767257
19,1,0.2315092831850052,0.6098813414573669,0.5495819449424744,0.22494514599701307
19,2,0.28087037801742554,0.5963283777236938,0.5541454553604126,0.26322992866281975
19,3,0.31933408975601196,0.5804972648620605,0.5452721118927002,0.29752303378179534
19,4,0.35315218567848206,0.5767686367034912,0.5411145687103271,0.32999642171983945
19,5,0.3853503465652466,0.5561515688896179,0.5131328701972961,0.36208942807976874
19,6,0.4178326427936554,0.5369753837585449,0.4996723532676697,0.3935774726123813
19,7,0.44895491003990173,0.5231817364692688,0.4954271614551544,0.42537943613117607
19,8,0.47812420129776,0.5198490023612976,0.49732789397239685,0.45672822117351936
19,9,0.5079728364944458,0.5329747796058655,0.4934418201446533,0.4880229411009201
19,10,0.5382269620895386,0.505361795425415,0.4648457467556,0.5199312380167558
19,11,0.5687019228935242,0.5002038478851318,0.45591190457344055,0.5513854350118781
19,12,0.6005163788795471,0.4837125837802887,0.4342082142829895,0.5845329685957705
19,13,0.6331343054771423,0.46530881524086,0.4197359085083008,0.6184613028284085
19,14,0.6697721481323242,0.45619693398475647,0.4040195047855377,0.6540735356756415
19,15,0.7126122713088989,0.44030165672302246,0.3725808262825012,0.693750531382445
19,16,0.7633727788925171,0.4294651746749878,0.3362618088722229,0.7383169358706481
19,17,0.8247868418693542,0.43893879652023315,0.30991846323013306,0.7941667591559437
19,18,0.9157739281654358,0.5049635171890259,,0.8833352238045177
20,0,0.14100810885429382,,0.5372610688209534,0.16600902554929858
20,1,0.2273174375295639,0.6061352491378784,0.5473813414573669,0.2218899112655783
20,2,0.27534088492393494,0.5982224345207214,0.5559747219085693,0.25860291192331525
20,3,0.31321805715560913,0.5817387104034424,0.5494757294654846,0.2915110038876479
20,4,0.34557461738586426,0.5810322165489197,0.547905683517456,0.3226063142777051
20,5,0.37654784321784973,0.5607807040214539,0.5208888053894043,0.35332309786172966
20,6,0.4073294401168823,0.5368662476539612,0.4994461238384247,0.38340391628623777
20,7,0.4376380145549774,0.5334728360176086,0.5010952949523926,0.413757214427109
20,8,0.46564769744873047,0.5122483968734741,0.48909130692481995,0.44347433006929443
20,9,0.4937962293624878,0.5289309620857239,0.4991895854473114,0.47298107081744906
20,10,0.522272527217865,0.5236241817474365,0.4879515767097473,0.5033678188819581
20,11,0.5511037707328796,0.506766676902771,0.46191614866256714,0.5332784258983859
20,12,0.580361008644104,0.48814651370048523,0.44579535722732544,0.5631911120862042
20,13,0.611142635345459,0.4763500988483429,0.4330326318740845,0.5953881070154212
20,14,0.6424577832221985,0.46298566460609436,0.41765329241752625,0.6277556223547784
20,15,0.6791706681251526,0.45029133558273315,0.39596500992774963,0.6626153573384462
20,16,0.7204375863075256,0.443431556224823,0.3719840943813324,0.7009487922613228
20,17,0.770720362663269,0.41769784688949585,0.3322712779045105,0.7443175656834259
20,18,0.8297823667526245,0.4417093098163605,0.3126629889011383,0.7988241914860569
20,19,0.9186295866966248,0.5064848065376282,,0.8863291377187222
21,0,0.1382519006729126,,0.5385525822639465,0.16447326424311903
21,1,0.2234736829996109,0.6056707501411438,0.5458997488021851,0.21906513908525213
21,2,0.27020853757858276,0.5983098745346069,0.5565025806427002,0.2542950922651227
21,3,0.30767062306404114,0.5762309432029724,0.5489363670349121,0.28627084382983753
21,4,0.33867087960243225,0.5817002058029175,0.5500511527061462,0.31579631772336764
21,5,0.3686596155166626,0.5717359781265259,0.5324708223342896,0.3449429158826655
21,6,0.3976265490055084,0.541107177734375,0.5040137767791748,0.3739700602605779
21,7,0.4270590543746948,0.5379980802536011,0.5056052207946777,0.4030275365218548
21,8,0.45459800958633423,0.5187509655952454,0.49397948384284973,0.43147919096840137
21,9,0.4809427559375763,0.5204979181289673,0.49788907170295715,0.45967867070207347
21,10,0.5079838037490845,0.5298423171043396,0.4949725568294525,0.4880347890962286
21,11,0.535310685634613,0.5017696619033813,0.4670836329460144,0.5169091211077171
21,12,0.5627437233924866,0.5061124563217163,0.46403419971466064,0.5454480042666663
21,13,0.5912573337554932,0.4836333394050598,0.437412291765213,0.5751994060414397
21,14,0.6206780076026917,0.46703776717185974,0.4293350577354431,0.6054889229580921
21,15,0.6512306928634644,0.4585425853729248,0.4147149622440338,0.6365296542416214
