N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
19,1,0.5700826048851013,0.5352896451950073,0.1154343389928699
19,2,0.5701435208320618,0.5346518158912659,0.1491745804254266
19,3,0.6095237135887146,0.5600798726081848,0.18142168648455942
19,4,0.5890056490898132,0.539074182510376,0.21814544154442606
19,5,0.597834587097168,0.546515703201294,0.26064831030232394
19,6,0.5865164995193481,0.530561625957489,0.3108210384113527
19,7,0.5638754963874817,0.4949035048484802,0.3654238851122366
19,8,0.5442768335342407,0.48820817470550537,0.4207197258105905
19,9,0.5342046618461609,0.47186607122421265,0.4794098348593114
19,10,0.5197770595550537,0.43848150968551636,0.5380000279792313
19,11,0.4950489401817322,0.41991204023361206,0.595354708214442
19,12,0.4723564386367798,0.39843031764030457,0.6512367972768544
19,13,0.4527834355831146,0.3683885335922241,0.7025529337138824
19,14,0.4282771050930023,0.33938664197921753,0.7505979616917067
19,15,0.4391399323940277,0.35181328654289246,0.8020921635115896
19,16,0.4641692042350769,0.349386990070343,0.8552593633464026
19,17,0.506657063961029,0.4137175977230072,0.9163503082006647
19,18,0.7324397563934326,,1.0
20,0,,0.33149534463882446,0.0
20,1,0.5589399337768555,0.5247224569320679,0.11338332286233212
20,2,0.5709213614463806,0.5467969179153442,0.14581537956764576
20,3,0.6103010773658752,0.5655825734138489,0.17598226496943317
20,4,0.5924516320228577,0.5415881276130676,0.2093763093884357
20,5,0.5929016470909119,0.5462908148765564,0.24914260301546134
20,6,0.5874035954475403,0.5337399840354919,0.2940386936581763
20,7,0.5779709219932556,0.5137518048286438,0.3447087549349755
20,8,0.5481024980545044,0.48753413558006287,0.39677287646870796
20,9,0.5352034568786621,0.47877612709999084,0.452052721109629
20,10,0.53094881772995,0.46523261070251465,0.5075734939878217
20,11,0.5122672319412231,0.4338918626308441,0.5617246191321545
20,12,0.4843992590904236,0.41409674286842346,0.6169142069155583
20,13,0.4615171253681183,0.3883439302444458,0.6671350502689668
20,14,0.44650518894195557,0.3609735071659088,0.715625835565888
20,15,0.4261658489704132,0.3465316891670227,0.7610145867517605
20,16,0.4366011321544647,0.35227522253990173,0.8102221523242993
20,17,0.465497761964798,0.3610353171825409,0.8613238451361174
20,18,0.5079710483551025,0.41322705149650574,0.9199522028684102
20,19,0.7408202886581421,,1.0
21,0,,0.3322722911834717,0.0
21,1,0.5602370500564575,0.5249102711677551,0.11153740834484813
21,2,0.5739227533340454,0.5472149848937988,0.142773955319503
21,3,0.5999066233634949,0.5614890456199646,0.17111673953659784
21,4,0.6008507013320923,0.551841139793396,0.2018593593758142
21,5,0.5932143926620483,0.5408061742782593,0.23853246548312398
21,6,0.5834894180297852,0.5401867032051086,0.27943187021132715
21,7,0.5825782418251038,0.5296816229820251,0.3270288931005797
21,8,0.5580224990844727,0.49323415756225586,0.3763038627011432
21,9,0.5385919809341431,0.48835694789886475,0.4264591065931157
21,10,0.5340006947517395,0.4804111421108246,0.4794098348593114
21,11,0.5197794437408447,0.4486744999885559,0.5321077569651989
21,12,0.4939911365509033,0.42416948080062866,0.5840078268271515
21,13,0.47364336252212524,0.40911054611206055,0.6353202804044117
21,14,0.45256251096725464,0.38481202721595764,0.6815788681437442
21,15,0.4384552240371704,0.355544775724411,0.7271865250250824
21,16,0.42923739552497864,0.3521951138973236,0.7705437225552128
21,17,0.4327537417411804,0.34657981991767883,0.8177216003929335
21,18,0.45813658833503723,0.3624713718891144,0.8668260377632114
21,19,0.5129407644271851,0.42045390605926514,0.9231939080693813
21,20,0.7473689913749695,,1.0
22,0,,0.31873440742492676,0.0
22,1,0.5513883233070374,0.5268294215202332,0.10972405555742885
22,2,0.5753026008605957,0.5414825081825256,0.13996444513017886
22,3,0.5951215624809265,0.5591720938682556,0.16705934262790934
22,4,0.6023392081260681,0.5588321685791016,0.1955023203278115
22,5,0.5908092260360718,0.5429710745811462,0.22967454389960545
22,6,0.5899531245231628,0.5457573533058167,0.2672169210232322
22,7,0.5818224549293518,0.5365452170372009,0.3108210384113527
22,8,0.5682253241539001,0.5080186724662781,0.35794511496292664
22,9,0.5408791899681091,0.4917450547218323,0.40460241508025696
22,10,0.5278999209403992,0.47927144169807434,0.4546919259810158
22,11,0.5296922326087952,0.4660017788410187,0.5049665547280027
22,12,0.5128557085990906,0.4418694078922272,0.5541232478903249
22,13,0.4878884553909302,0.42410770058631897,0.6037631550657366
22,14,0.4674132764339447,0.4019465446472168,0.6512367972768544
22,15,0.4456813931465149,0.3790947496891022,0.695291961061408
22,16,0.42837101221084595,0.3479622006416321,0.7371297183834278
22,17,0.4333948791027069,0.3568818271160126,0.7795673755634028
22,18,0.4329763650894165,0.34047171473503113,0.8244638515670449
22,19,0.4526922404766083,0.36652490496635437,0.8718049500595594
22,20,0.5213225483894348,0.43043702840805054,0.926225899094837
22,21,0.7446959614753723,,1.0
23,0,,0.31252461671829224,0.0
23,1,0.5377048254013062,0.5202493071556091,0.10807555302341133
23,2,0.5734118819236755,0.5437420606613159,0.13741034495806603
23,3,0.5866758227348328,0.5502330660820007,0.1634329203803234
23,4,0.6094223260879517,0.5672999620437622,0.19011696702589836
23,5,0.5873733758926392,0.5442891716957092,0.22185705373300094
23,6,0.5933936834335327,0.5513976216316223,0.25640918471779606
23,7,0.585957407951355,0.5402826070785522,0.2963903565050632
23,8,0.5750712156295776,0.5215631723403931,0.3400123525204565
23,9,0.5485036969184875,0.4920279085636139,0.38511025727608567
23,10,0.5314286947250366,0.48689979314804077,0.4314218116318409
23,11,0.5354684591293335,0.4882260859012604,0.4794098348593114
23,12,0.5203367471694946,0.4528631567955017,0.5274081514410192
23,13,0.4953160583972931,0.4284074604511261,0.5748485440228133
23,14,0.472032368183136,0.4175780415534973,0.6216734792318498
23,15,0.45720145106315613,0.3940620422363281,0.6649952481195988
23,16,0.44584059715270996,0.37650424242019653,0.7070926409119491
23,17,0.41962650418281555,0.344073086977005,0.7461035156028284
23,18,0.4311498701572418,0.35782861709594727,0.7879429176096752
23,19,0.43372851610183716,0.34252795577049255,0.8306747595685823
23,20,0.45499157905578613,0.37745609879493713,0.8763312339653302
23,21,0.5293274521827698,0.43530282378196716,0.9289822545725241
23,22,0.7346126437187195,,1.0
24,0,,0.3182505667209625,0.0
24,1,0.5441311597824097,0.523210346698761,0.10657039853583013
24,2,0.5676894783973694,0.5400280356407166,0.1351225569104314
24,3,0.5829305052757263,0.5494722127914429,0.16016640383014322
24,4,0.6093644499778748,0.5738136768341064,0.18564412816445575
24,5,0.5907645225524902,0.5466638803482056,0.2145473403978686
24,6,0.5886716842651367,0.5462520718574524,0.24747790271890963
24,7,0.5820975303649902,0.5460206866264343,0.2833083047145371
24,8,0.5840662121772766,0.5380890965461731,0.32485635738397356
24,9,0.5583485960960388,0.49859967827796936,0.3677534715985317
24,10,0.5392364263534546,0.49541687965393066,0.4108909026968561
24,11,0.5250975489616394,0.484555721282959,0.45687213870085713
24,12,0.5294877290725708,0.4728908836841583,0.5028129962090215
24,13,0.5094236731529236,0.4453490972518921,0.5479130496064155
24,14,0.4894011318683624,0.4316485524177551,0.5928510431994204
24,15,0.4669039249420166,0.4096110165119171,0.6374565352224911
24,16,0.4469728469848633,0.39007753133773804,0.677550391329263
24,17,0.4403158724308014,0.36818787455558777,0.7176598665916348
24,18,0.4162834584712982,0.3455716073513031,0.75489931951919
24,19,0.4305431842803955,0.3635440766811371,0.7953788832382699
24,20,0.439181923866272,0.34757113456726074,0.8364041196749291
24,21,0.4542493522167206,0.37456053495407104,0.880472580434508
24,22,0.5330244898796082,0.441263347864151,0.931498926965195
24,23,0.7275407910346985,,1.0
25,0,,0.3181036412715912,0.0
25,1,0.5405367016792297,0.5237917900085449,0.10519067358888068
25,2,0.5722489953041077,0.5439107418060303,0.13303752475389455
25,3,0.5796141624450684,0.5501551032066345,0.1570383959920878
25,4,0.6161429286003113,0.577695369720459,0.18142168648455942
25,5,0.5890055894851685,0.5524656772613525,0.20779311296072947
25,6,0.5966237187385559,0.5499094128608704,0.23853246548312398
