N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
11,3,-0.8117693662643433,-0.7938699722290039,-0.5549999999999999
11,4,-0.6349642276763916,-0.6204066276550293,-0.72
11,5,-1.2845351696014404,-1.2884529829025269,-0.875
11,6,-1.0472837686538696,-1.0467513799667358,-1.02
11,7,-0.9604631662368774,-0.9231382608413696,-1.155
11,8,-1.0627148151397705,-1.0372689962387085,-1.28
11,9,-0.9078735709190369,-0.8512505292892456,-1.395
11,10,-0.6982720494270325,,-1.5
12,0,,-0.4176280200481415,0.0
12,1,-0.9929632544517517,-0.9525142908096313,-0.17768595041322316
12,2,-0.8423066735267639,-0.8326767086982727,-0.34710743801652894
12,3,-0.865446150302887,-0.8683528304100037,-0.5082644628099173
12,4,-0.7077536582946777,-0.6879493594169617,-0.6611570247933884
12,5,-0.9216110706329346,-0.9170214533805847,-0.8057851239669421
12,6,-1.0679036378860474,-1.0814415216445923,-0.9421487603305785
12,7,-1.01289963722229,-1.0042928457260132,-1.0702479338842976
12,8,-0.9615027904510498,-0.9345878958702087,-1.1900826446280992
12,9,-1.1109589338302612,-1.0695489645004272,-1.3016528925619835
12,10,-0.9530105590820312,-0.917633593082428,-1.4049586776859504
12,11,-0.6356907486915588,,-1.5
13,0,,-0.41863131523132324,0.0
13,1,-0.9336585402488708,-0.8566699624061584,-0.16319444444444445
13,2,-0.8630155324935913,-0.8543378114700317,-0.3194444444444444
13,3,-0.8342879414558411,-0.8402753472328186,-0.46875
13,4,-0.8496178984642029,-0.8397656083106995,-0.611111111111111
13,5,-0.56305992603302,-0.5302116870880127,-0.7465277777777778
13,6,-1.3436094522476196,-1.3657575845718384,-0.875
13,7,-1.1315373182296753,-1.0969009399414062,-0.9965277777777778
13,8,-0.8110079169273376,-0.7943109273910522,-1.1111111111111112
13,9,-0.9077317714691162,-0.9306055307388306,-1.21875
13,10,-1.1172900199890137,-1.083383560180664,-1.3194444444444444
13,11,-0.9838035702705383,-0.8792449235916138,-1.4131944444444444
13,12,-0.607970654964447,,-1.5
14,0,,-0.46468064188957214,0.0
14,1,-0.8949958086013794,-0.8201646208763123,-0.15088757396449706
14,2,-0.8913030624389648,-0.8872033953666687,-0.2958579881656805
14,3,-0.784127414226532,-0.7600332498550415,-0.4349112426035503
14,4,-0.8233867287635803,-0.8077832460403442,-0.5680473372781065
14,5,-0.5786628723144531,-0.576513946056366,-0.6952662721893491
14,6,-1.0352516174316406,-1.0880621671676636,-0.8165680473372782
14,7,-1.187276005744934,-1.146084189414978,-0.9319526627218935
14,8,-1.068425178527832,-1.055415153503418,-1.0414201183431953
14,9,-0.9426224827766418,-0.9351290464401245,-1.1449704142011834
14,10,-0.9281586408615112,-0.8992228507995605,-1.2426035502958581
14,11,-0.9663283228874207,-0.9708364009857178,-1.334319526627219
14,12,-1.1021784543991089,-0.9989293217658997,-1.4201183431952664
14,13,-0.613603949546814,,-1.5
15,0,,-0.4592043459415436,0.0
15,1,-0.8855054974555969,-0.8346224427223206,-0.14030612244897958
15,2,-0.8439545631408691,-0.8359832763671875,-0.2755102040816326
15,3,-0.8583630919456482,-0.8353829979896545,-0.40561224489795916
15,4,-0.8567727208137512,-0.8434516787528992,-0.5306122448979591
15,5,-0.7137418389320374,-0.7100180387496948,-0.6505102040816326
15,6,-0.5750662684440613,-0.5260666012763977,-0.7653061224489796
15,7,-1.4289097785949707,-1.462262511253357,-0.875
15,8,-0.9346030950546265,-0.9405457973480225,-0.9795918367346939
15,9,-0.9588620662689209,-0.9558672308921814,-1.0790816326530612
15,10,-1.1450148820877075,-1.1236683130264282,-1.1734693877551021
15,11,-0.9831188917160034,-0.9456394910812378,-1.2627551020408163
15,12,-0.7516329884529114,-0.8003263473510742,-1.346938775510204
15,13,-1.14968740940094,-1.0570902824401855,-1.4260204081632653
15,14,-0.6437677145004272,,-1.5
16,0,,-0.43955957889556885,0.0
16,1,-0.8618339896202087,-0.7852641344070435,-0.13111111111111112
16,2,-0.8484123349189758,-0.823481023311615,-0.2577777777777778
16,3,-0.8609328866004944,-0.839645266532898,-0.38
16,4,-0.7673081755638123,-0.7777734994888306,-0.49777777777777776
16,5,-0.9648646712303162,-0.9692042469978333,-0.611111111111111
16,6,-0.4050659239292145,-0.3961571753025055,-0.72
16,7,-1.1156636476516724,-1.1745575666427612,-0.8244444444444444
16,8,-1.2011196613311768,-1.1883891820907593,-0.9244444444444444
16,9,-1.0734728574752808,-1.0225183963775635,-1.02
16,10,-0.904110848903656,-0.8960163593292236,-1.1111111111111112
16,11,-0.8617367148399353,-0.8060455322265625,-1.1977777777777776
16,12,-1.1723220348358154,-1.123434066772461,-1.28
16,13,-0.7035594582557678,-0.7791590690612793,-1.3577777777777778
16,14,-1.0792182683944702,-0.9646308422088623,-1.431111111111111
16,15,-0.7022528052330017,,-1.5
17,0,,-0.45412278175354004,0.0
17,1,-0.7596960663795471,-0.7234611511230469,-0.123046875
17,2,-0.8873400092124939,-0.7888186573982239,-0.2421875
17,3,-0.9646737575531006,-0.939000129699707,-0.357421875
17,4,-0.8271496295928955,-0.8326547145843506,-0.46875
17,5,-0.856306254863739,-0.8364870548248291,-0.576171875
17,6,-0.7031286358833313,-0.7088974714279175,-0.6796875
17,7,-0.5880107879638672,-0.5518316030502319,-0.779296875
17,8,-1.3825267553329468,-1.4168652296066284,-0.875
17,9,-0.9136196970939636,-0.9292846322059631,-0.966796875
17,10,-1.1617377996444702,-1.1008068323135376,-1.0546875
17,11,-0.9147759079933167,-0.9395408034324646,-1.138671875
17,12,-0.9263574481010437,-0.8745681047439575,-1.21875
17,13,-1.2927765846252441,-1.2163150310516357,-1.294921875
17,14,-0.5623611211776733,-0.6061654090881348,-1.3671875
17,15,-1.1561909914016724,-1.0562608242034912,-1.435546875
17,16,-0.5787575840950012,,-1.5
18,0,,-0.4008370637893677,0.0
18,1,-0.784138560295105,-0.7340418100357056,-0.11591695501730104
18,2,-0.9368183016777039,-0.8915508389472961,-0.22837370242214533
18,3,-0.9368786215782166,-0.9338734745979309,-0.3373702422145329
18,4,-0.732471764087677,-0.6909793019294739,-0.4429065743944637
18,5,-0.8980125784873962,-0.8725014328956604,-0.5449826989619377
18,6,-0.7294532060623169,-0.7359175682067871,-0.6435986159169551
18,7,-0.5136622786521912,-0.47063329815864563,-0.7387543252595156
18,8,-1.090944528579712,-1.1532020568847656,-0.8304498269896193
18,9,-1.1263054609298706,-1.1341001987457275,-0.9186851211072664
18,10,-1.3279191255569458,-1.292478322982788,-1.0034602076124568
18,11,-0.6553479433059692,-0.6549072265625,-1.0847750865051904
