N_DISC,treatment_value_idx,EPOs_1,EPOs_2,true_effect
18,11,5.225844383239746,4.8721747398376465,5.4411764705882355
18,12,4.606936454772949,4.605911731719971,5.617647058823529
18,13,5.1077880859375,5.552571773529053,5.794117647058823
18,14,5.798670768737793,5.915254592895508,5.970588235294118
18,15,5.5862135887146,5.561968803405762,6.147058823529411
18,16,5.654954433441162,5.776962757110596,6.323529411764706
18,17,6.012226581573486,,6.5
19,0,,3.9579811096191406,3.5
19,1,4.179657936096191,4.035984516143799,3.6666666666666665
19,2,4.0887322425842285,4.076941967010498,3.8333333333333335
19,3,4.588514804840088,4.754385948181152,4.0
19,4,4.589133262634277,4.5277323722839355,4.166666666666667
19,5,4.67598819732666,4.787771224975586,4.333333333333333
19,6,4.563251972198486,4.324434757232666,4.5
19,7,4.851008415222168,4.659108638763428,4.666666666666667
19,8,4.916803359985352,4.800261497497559,4.833333333333333
19,9,4.7513108253479,5.2334089279174805,5.0
19,10,5.347386837005615,5.59872579574585,5.166666666666667
19,11,5.257526397705078,4.836594581604004,5.333333333333334
19,12,5.371400833129883,5.107598781585693,5.5
19,13,4.3724493980407715,4.58138370513916,5.666666666666666
19,14,5.388131141662598,5.93369197845459,5.833333333333334
19,15,5.902047634124756,5.743623733520508,6.0
19,16,5.541037559509277,5.475959300994873,6.166666666666666
19,17,5.53557014465332,5.83935546875,6.333333333333333
19,18,6.1716814041137695,,6.5
20,0,,3.904439926147461,3.5
20,1,4.150234222412109,4.0297064781188965,3.6578947368421053
20,2,4.111629009246826,4.090929985046387,3.8157894736842106
20,3,4.566884994506836,4.823523998260498,3.973684210526316
20,4,4.731159687042236,4.523069858551025,4.131578947368421
20,5,4.738821983337402,4.865153789520264,4.2894736842105265
20,6,4.603161811828613,4.552643299102783,4.447368421052632
20,7,4.699473857879639,4.429404258728027,4.605263157894736
20,8,4.893693923950195,4.713276386260986,4.7631578947368425
20,9,4.5546159744262695,4.814692974090576,4.921052631578947
20,10,5.003507614135742,5.532763481140137,5.078947368421053
20,11,5.521227836608887,5.298666000366211,5.2368421052631575
20,12,5.091095447540283,4.7865681648254395,5.394736842105263
20,13,5.061121940612793,5.015701770782471,5.552631578947368
20,14,4.637014389038086,4.934351444244385,5.7105263157894735
20,15,5.651220321655273,6.024571418762207,5.868421052631579
20,16,5.806208610534668,5.60568380355835,6.026315789473684
20,17,5.719799995422363,5.559847354888916,6.184210526315789
20,18,5.3319597244262695,5.729392051696777,6.342105263157895
20,19,6.165315628051758,,6.5
21,0,,3.867567777633667,3.5
21,1,4.272378444671631,4.150062084197998,3.65
21,2,4.145576000213623,3.9973113536834717,3.8
21,3,4.576299667358398,4.837918758392334,3.95
21,4,4.677551746368408,4.486470699310303,4.1
21,5,4.366217136383057,4.330626487731934,4.25
21,6,4.602190017700195,4.695920467376709,4.4
21,7,4.7360334396362305,4.5834174156188965,4.55
21,8,4.857995510101318,4.70924711227417,4.7
21,9,4.889301300048828,4.7324137687683105,4.85
21,10,4.708952903747559,5.284644603729248,5.0
21,11,5.265056610107422,5.4503493309021,5.15
21,12,5.400777339935303,5.066880226135254,5.3
21,13,5.213212013244629,5.042913436889648,5.45
21,14,4.7372894287109375,4.686196327209473,5.6
21,15,4.956082344055176,5.330831527709961,5.75
21,16,5.656079292297363,5.717172145843506,5.9
21,17,5.81815767288208,5.553414344787598,6.05
21,18,5.611146450042725,5.645511150360107,6.2
21,19,5.42041540145874,5.744020462036133,6.35
21,20,6.195197582244873,,6.5
22,0,,3.748358726501465,3.5
22,1,4.303200721740723,4.36077356338501,3.642857142857143
22,2,4.096798896789551,3.856738328933716,3.7857142857142856
22,3,4.635780334472656,4.841114521026611,3.9285714285714284
22,4,4.837549209594727,4.515361309051514,4.071428571428571
22,5,4.510595798492432,4.546391487121582,4.214285714285714
22,6,4.486757278442383,4.790871620178223,4.357142857142857
22,7,4.739835739135742,4.401313304901123,4.5
22,8,4.807851791381836,4.628783702850342,4.642857142857142
22,9,4.894908428192139,4.629488945007324,4.785714285714286
22,10,4.6191229820251465,4.878594875335693,4.928571428571429
22,11,5.029520511627197,5.6862616539001465,5.071428571428571
22,12,5.575901031494141,5.251090049743652,5.214285714285714
22,13,5.111990928649902,4.748971462249756,5.357142857142858
22,14,5.331024169921875,5.068155765533447,5.5
22,15,4.459772109985352,4.5489349365234375,5.642857142857142
22,16,5.128061294555664,5.414323329925537,5.785714285714286
22,17,5.679818153381348,5.800847053527832,5.928571428571429
22,18,5.783970355987549,5.664796352386475,6.071428571428571
22,19,5.806811809539795,5.911614418029785,6.214285714285714
22,20,5.462663173675537,5.689477443695068,6.357142857142857
22,21,6.25742769241333,,6.5
23,0,,3.758695125579834,3.5
23,1,4.306163787841797,4.359254837036133,3.6363636363636362
23,2,4.170269012451172,3.8132340908050537,3.7727272727272725
23,3,4.475079536437988,4.5950541496276855,3.909090909090909
23,4,4.607323169708252,4.610594272613525,4.045454545454545
23,5,4.698444366455078,4.657144546508789,4.181818181818182
23,6,4.677755832672119,4.878807544708252,4.318181818181818
23,7,4.598482131958008,4.547625541687012,4.454545454545455
23,8,4.772444248199463,4.439642429351807,4.590909090909091
23,9,4.698786735534668,4.644523620605469,4.7272727272727275
23,10,4.751262664794922,4.645856857299805,4.863636363636363
23,11,4.892210006713867,5.445106029510498,5.0
23,12,5.088562488555908,5.363053798675537,5.136363636363637
23,13,5.657183647155762,5.098019123077393,5.272727272727273
23,14,4.931180477142334,4.753567218780518,5.409090909090909
23,15,5.031376838684082,5.220989227294922,5.545454545454545
23,16,4.643151760101318,4.721375942230225,5.681818181818182
23,17,5.367177486419678,5.781126499176025,5.818181818181818
23,18,5.760275363922119,5.920656204223633,5.954545454545455
23,19,5.684642791748047,5.44891881942749,6.090909090909091
23,20,5.788427352905273,5.957604885101318,6.227272727272727
23,21,5.4163384437561035,5.633971214294434,6.363636363636363
23,22,6.292701244354248,,6.5
24,0,,3.84122633934021,3.5
24,1,4.153783798217773,4.366741180419922,3.630434782608696
24,2,4.306511402130127,3.8099029064178467,3.760869565217391
24,3,4.279670238494873,4.5340094566345215,3.891304347826087
24,4,4.525826930999756,4.735511779785156,4.021739130434782
24,5,4.662463665008545,4.560693264007568,4.1521739130434785
24,6,4.661970615386963,4.556962966918945,4.282608695652174
24,7,4.508408546447754,4.550644397735596,4.413043478260869
24,8,4.770519256591797,4.616140365600586,4.543478260869565
24,9,4.8283233642578125,4.654804706573486,4.673913043478261
24,10,4.936914920806885,4.646279811859131,4.804347826086957
24,11,4.60006856918335,4.976135730743408,4.934782608695652
24,12,5.058871746063232,5.61501932144165,5.065217391304348
24,13,5.744028568267822,5.485260009765625,5.195652173913043
24,14,5.118741035461426,4.956521034240723,5.326086956521739
24,15,5.303872108459473,5.108966827392578,5.456521739130435
24,16,4.800599575042725,4.538619518280029,5.586956521739131
24,17,4.520414352416992,4.7967610359191895,5.717391304347826
24,18,5.538537979125977,5.873493194580078,5.8478260869565215
24,19,5.925420761108398,5.875298023223877,5.978260869565217
24,20,5.617775917053223,5.51177978515625,6.108695652173913
24,21,5.770885944366455,5.941381931304932,6.239130434782608
24,22,5.553346633911133,5.64470100402832,6.369565217391305
24,23,6.151704788208008,,6.5
25,0,,3.8561744689941406,3.5
25,1,4.047070503234863,4.317586898803711,3.625
25,2,4.464354515075684,3.84906005859375,3.75
25,3,4.0981950759887695,4.244907379150391,3.875
25,4,4.5759429931640625,4.93416690826416,4.0
25,5,4.910684108734131,4.6157145500183105,4.125
25,6,4.532115459442139,4.474954128265381,4.25
25,7,4.651931285858154,4.8463921546936035,4.375
25,8,4.671175956726074,4.412262916564941,4.5
25,9,4.741819381713867,4.584349632263184,4.625
25,10,5.025008678436279,4.928475379943848,4.75
25,11,4.633898735046387,4.4237775802612305,4.875
25,12,4.837047576904297,5.342589378356934,5.0
25,13,5.048103332519531,5.321816444396973,5.125
25,14,5.599516868591309,5.294027805328369,5.25
25,15,5.002160549163818,4.743818759918213,5.375
25,16,5.431777000427246,5.104692459106445,5.5
25,17,4.544196128845215,4.418302059173584,5.625
25,18,4.9743828773498535,5.249208927154541,5.75
25,19,5.613415718078613,5.941283226013184,5.875
25,20,5.721343040466309,5.560839653015137,6.0
25,21,5.7102155685424805,5.570903301239014,6.125
25,22,5.544084072113037,5.902087211608887,6.25
25,23,5.6393914222717285,5.758253574371338,6.375
25,24,6.092896461486816,,6.5
